node_id,betweenness,pagerank,network_community_id,semantic_cluster_id,top_keywords,neighbor_consistency
Vastael,7.725171014845508e-05,0.00011678845762706585,4,11,"luther, astelan, lion, caliban, jonson",0.6496788263320923
Farith Redloss,0.00042932921210270936,0.00026007759443263104,4,11,"luther, astelan, lion, caliban, jonson",0.6068755388259888
Vathras Kell,8.855374510142649e-05,0.00016008965389467124,17,1,"necromunda, helmawr, kal, gerontius, haera",0.5453212261199951
Fel Zharost,0.0010084508389525894,0.0003285345394311422,17,6,"fulgrim, perturabo, dorn, m30, curze",0.5923680067062378
Cyfan,0.0,0.00014807593468476774,17,0,"heht, phoenix, yriel, craftworld, iyanden",0.6466581225395203
Dimav,0.0,0.00014807593468476774,17,0,"heht, phoenix, yriel, craftworld, iyanden",0.6441110372543335
Vaynom Blenner,0.0034303979560688907,0.00019765281460449438,3,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.32294774055480957
Vedic,0.0,5.7403167991312944e-05,3,13,"tanith, gaunt, sabbat, omnibus, vervunhive",0.6169774532318115
Veegum,0.0,5.7403167991312944e-05,3,2,"templars, sigismund, sabbat, saint, creed",0.7387560606002808
Vek'shen,0.0,5.7403167991312944e-05,5,10,"style, khan, sarro, salamanders, kor",0.5525662302970886
Vel'cona,1.474311944285009e-06,0.0004096892330709523,5,10,"style, khan, sarro, salamanders, kor",0.6771817207336426
Vel-Kheredar,0.0,5.7403167991312944e-05,7,10,"style, khan, sarro, salamanders, kor",0.5185980796813965
Velayne Ramaeus,9.582096045181499e-08,8.494819452487779e-05,1,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.42505186796188354
Vellian Tersus,0.0,9.987660703150726e-05,17,15,"cain, cadian, armageddon, drinkers, yarrick",0.6649602651596069
Deros,0.0,9.987660703150726e-05,17,15,"cain, cadian, armageddon, drinkers, yarrick",0.6735340356826782
Velope,0.0,9.943985978579095e-05,41,15,"cain, cadian, armageddon, drinkers, yarrick",0.7369663715362549
Venakhar,0.0,0.00023914375349029418,1,9,"khan, huron, sabbat, telomane, sek",0.5968596935272217
Marduk Tamaris,2.7134505308046712e-05,0.00037377140176731214,1,5,"honfler, custodes, denial, magron, loyalists",0.6154003143310547
Mauvais,0.000320989015182894,0.000484223900315138,1,5,"honfler, custodes, denial, magron, loyalists",0.6674121618270874
Johannes Berengar,0.00026299263493601217,0.0005772782671036155,1,2,"templars, sigismund, sabbat, saint, creed",0.4752921164035797
Raezazel,0.0,9.221553484369007e-05,28,0,"heht, phoenix, yriel, craftworld, iyanden",0.3471145033836365
Solana Vergen,0.0,8.186007882609743e-05,0,1,"necromunda, helmawr, kal, gerontius, haera",0.5153113007545471
Vendraal,0.0,0.00015593702819132892,17,5,"honfler, custodes, denial, magron, loyalists",0.8622417449951172
Gregorius Skekkir,0.0001328078511862156,0.00022497699312580078,17,5,"honfler, custodes, denial, magron, loyalists",0.7448856830596924
Vendrahel,0.0,0.00013280873448528958,4,5,"honfler, custodes, denial, magron, loyalists",0.6916756629943848
Ennedreth,0.0,0.00013280873448528958,4,5,"honfler, custodes, denial, magron, loyalists",0.6858882904052734
Kadus Brekkar,0.0,0.00013280873448528958,4,11,"luther, astelan, lion, caliban, jonson",0.6699000000953674
Verano Ebb,0.0,5.7403167991312944e-05,21,9,"khan, huron, sabbat, telomane, sek",0.48350536823272705
Verena Kain,0.0,8.265370948950946e-05,0,15,"cain, cadian, armageddon, drinkers, yarrick",0.4600639343261719
Leto Barbaden,0.00034716348272482035,0.0001185187109593296,0,15,"cain, cadian, armageddon, drinkers, yarrick",0.4186118245124817
Verity Catena,3.6785928118862765e-06,0.00021929881045552372,25,14,"sisters, sororitas, aleya, adepta, saint",0.6355664730072021
Vermanus Cybus,0.0,5.7403167991312944e-05,0,8,"honsou, meduson, clan, warsmith, cain",0.38011518120765686
Hamadrya,0.0,8.220122673871298e-05,20,0,"heht, phoenix, yriel, craftworld, iyanden",
Esad Wire,3.6508807781643126e-05,0.00037921492877653724,5,9,"khan, huron, sabbat, telomane, sek",0.36938899755477905
Galatea Haas,0.0003058966199723513,0.00014586772941345527,5,5,"honfler, custodes, denial, magron, loyalists",0.5928518176078796
Verpall,3.8328384180725997e-07,0.00010702552581427652,5,8,"honsou, meduson, clan, warsmith, cain",0.6503936052322388
Malfons,4.5764056394276867e-05,7.560972500220671e-05,5,8,"honsou, meduson, clan, warsmith, cain",0.4512447714805603
Cuarrion,9.582096045181499e-08,0.0001032722432686984,5,9,"khan, huron, sabbat, telomane, sek",0.7398970127105713
Vorkogun,0.0,9.75695645586786e-05,5,9,"khan, huron, sabbat, telomane, sek",0.6857759952545166
Vertis,0.0,9.987660703150726e-05,16,8,"honsou, meduson, clan, warsmith, cain",0.6262509822845459
Drobekh,0.0,9.987660703150726e-05,16,8,"honsou, meduson, clan, warsmith, cain",0.6379772424697876
Verus Caspean,0.0,5.7403167991312944e-05,20,7,"sicarius, titus, calgar, macragge, ventanus",0.6072959899902344
Vespasian,1.1604671881038696e-05,5.9908732711021816e-05,1,6,"fulgrim, perturabo, dorn, m30, curze",0.523332417011261
Julius Kaesoron,0.0006911209286089493,0.0002819994110225174,1,6,"fulgrim, perturabo, dorn, m30, curze",0.6237072348594666
Solomon Demeter,2.3153852271382e-06,0.00016419548283609417,1,6,"fulgrim, perturabo, dorn, m30, curze",0.6464800834655762
Vethorel,0.00020077314191772454,0.00019226255606453178,7,15,"cain, cadian, armageddon, drinkers, yarrick",0.394999235868454
Vexwing,0.0,5.7403167991312944e-05,24,0,"heht, phoenix, yriel, craftworld, iyanden",0.4576326012611389
Vhakis,0.0,5.7403167991312944e-05,0,8,"honsou, meduson, clan, warsmith, cain",0.4092831015586853
Vheren Ashurhaddon,0.0,6.937079989504376e-05,17,6,"fulgrim, perturabo, dorn, m30, curze",0.39407628774642944
Vhetok Raan,0.0,9.987660703150726e-05,20,10,"style, khan, sarro, salamanders, kor",0.6473995447158813
Scarbek,0.0,9.987660703150726e-05,20,10,"style, khan, sarro, salamanders, kor",0.6206721663475037
Victarian,0.0,5.7403167991312944e-05,36,10,"style, khan, sarro, salamanders, kor",0.46649080514907837
Victoria Linn,0.0,0.00010581378842048283,6,15,"cain, cadian, armageddon, drinkers, yarrick",0.5140746831893921
Vidor,0.0,5.7403167991312944e-05,3,1,"necromunda, helmawr, kal, gerontius, haera",0.598389744758606
Vilius,0.00017313818384650132,0.00011201111496579635,1,5,"honfler, custodes, denial, magron, loyalists",0.5594693422317505
Zarghan Ironfist,0.00034094020715160335,0.0001285184217052523,1,10,"style, khan, sarro, salamanders, kor",0.5823938846588135
Sefoni,6.388064030120999e-08,0.00028961545575526833,18,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.4876139163970947
Vincente Sixx,0.0004012981823722012,0.0001603024873400243,23,5,"honfler, custodes, denial, magron, loyalists",0.6528196334838867
Navar Hef,0.00013242456734440831,0.0001255355545888477,23,5,"honfler, custodes, denial, magron, loyalists",0.5153288841247559
Vincius,9.582096045181499e-08,0.0006608355315747864,15,8,"honsou, meduson, clan, warsmith, cain",0.7590715289115906
Hargaal Xere,0.0,0.0005094112035796107,15,8,"honsou, meduson, clan, warsmith, cain",0.6466937065124512
Gideon (Ultramarines),0.0005354475270047421,0.00040857715786119946,15,8,"honsou, meduson, clan, warsmith, cain",0.7379165291786194
Vintillius,0.0,5.7403167991312944e-05,20,10,"style, khan, sarro, salamanders, kor",0.4892050623893738
Vinya Terrigo,0.0,5.7403167991312944e-05,3,1,"necromunda, helmawr, kal, gerontius, haera",0.4770731031894684
Vinyar,0.0,5.7403167991312944e-05,5,15,"cain, cadian, armageddon, drinkers, yarrick",0.3876521587371826
N'keln,0.0001367944745734124,0.00010412226654152834,5,15,"cain, cadian, armageddon, drinkers, yarrick",0.48243409395217896
Viola von Castellan,0.0,0.00015964191701585884,29,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.6825928688049316
Cleander von Castellan,3.3537336158135247e-07,0.00019129012701682584,29,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.566153883934021
Cassandra VanLeskus,2.1112002675607705e-05,0.00019237400865514226,20,7,"sicarius, titus, calgar, macragge, ventanus",0.47987252473831177
Vitus Urienz,0.0,5.7403167991312944e-05,3,15,"cain, cadian, armageddon, drinkers, yarrick",0.6513117551803589
Rusheck Vakkim,1.2776128060241998e-07,9.807678528601501e-05,3,9,"khan, huron, sabbat, telomane, sek",0.623889684677124
Vivica Sautine,0.0,5.7403167991312944e-05,29,15,"cain, cadian, armageddon, drinkers, yarrick",0.423937052488327
Vorn Hagen,0.0007271632760191452,0.00029811502847815706,16,2,"templars, sigismund, sabbat, saint, creed",0.5417811870574951
Voice of the Emperor,5.8538327587044386e-05,0.0002968422655421447,30,2,"templars, sigismund, sabbat, saint, creed",0.3147547245025635
Volk,1.1179112052711748e-07,0.0005397897272991692,0,5,"honfler, custodes, denial, magron, loyalists",0.5020338892936707
Sa'ra'am,0.0,0.0005325301397798605,0,0,"heht, phoenix, yriel, craftworld, iyanden",0.5447537302970886
Volupus,0.0,5.7403167991312944e-05,1,5,"honfler, custodes, denial, magron, loyalists",0.5305313467979431
Ravasch Cario,1.1110071644408405e-05,0.00017102423525988816,17,5,"honfler, custodes, denial, magron, loyalists",0.5915706157684326
Von Valancius heir,0.0,5.7403167991312944e-05,6,6,"fulgrim, perturabo, dorn, m30, curze",0.44464898109436035
Heinrix van Calox,0.0,0.00015531966189337427,6,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",
Vordkin,0.0,5.7403167991312944e-05,17,15,"cain, cadian, armageddon, drinkers, yarrick",0.6011468172073364
Lihua Sheradane,9.582096045181499e-08,8.180733836813418e-05,17,15,"cain, cadian, armageddon, drinkers, yarrick",0.44462427496910095
Vorek Gnarlfist,0.0,0.0002718108194569913,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.7501925230026245
Egil Iron Wolf,0.0022808316896316644,0.0006265786541509095,21,12,"russ, ragnar, fenris, bjorn, grimnar",0.6358710527420044
Vorias,0.0,7.367261490919376e-05,22,4,"eisenhorn, ravenor, quixos, inquisitors, pontius",0.5636940598487854
Vorsch (Word Bearers),0.0,5.7403167991312944e-05,20,5,"honfler, custodes, denial, magron, loyalists",0.5444884896278381
Vultius,0.0,0.00023840834504920756,20,7,"sicarius, titus, calgar, macragge, ventanus",
Rowd,4.791048022590749e-07,0.0001389930958319408,20,15,"cain, cadian, armageddon, drinkers, yarrick",0.5648940801620483
Vortigern (Fallen Angel),8.227360261269709e-05,8.901623044157566e-05,17,2,"templars, sigismund, sabbat, saint, creed",0.5687623620033264
Vorus Ikari,0.0,5.7403167991312944e-05,17,5,"honfler, custodes, denial, magron, loyalists",0.5481515526771545
Cymar Xydias,8.820593482395414e-05,0.00015080309301802148,20,10,"style, khan, sarro, salamanders, kor",0.6910158395767212
Voskamp,0.0,5.7403167991312944e-05,30,7,"sicarius, titus, calgar, macragge, ventanus",0.6565700173377991
Vostigar Catacult Eres,0.0,5.7403167991312944e-05,0,5,"honfler, custodes, denial, magron, loyalists",0.49430447816848755
Vosto Kurnan,2.103604901261301e-07,7.367261490919376e-05,5,8,"honsou, meduson, clan, warsmith, cain",0.5945596694946289
Kastigan Ulok,0.00021732367203084745,0.00021541936242300795,5,8,"honsou, meduson, clan, warsmith, cain",0.5554752945899963
Vul Direz,0.0,0.0001526005858761623,22,7,"sicarius, titus, calgar, macragge, ventanus",0.7405337691307068
Galatan,0.0,0.0002081490226400612,22,7,"sicarius, titus, calgar, macragge, ventanus",
Orestinio,0.0,0.0001526005858761623,22,7,"sicarius, titus, calgar, macragge, ventanus",0.7373260855674744
Herculon Praetor,0.00013323398829089158,0.0001826122952304413,5,10,"style, khan, sarro, salamanders, kor",0.5096889734268188
Vulle,0.0,5.7403167991312944e-05,3,2,"templars, sigismund, sabbat, saint, creed",0.649097204208374
Vulnor Habshept kal Geel,0.0,0.00011726945695293361,3,1,"necromunda, helmawr, kal, gerontius, haera",0.3652028739452362
Vyrokan,2.8746288135544497e-07,0.00013061567912177666,4,0,"heht, phoenix, yriel, craftworld, iyanden",0.3572477400302887
Gerantius,0.0,0.00018614831499722746,4,0,"heht, phoenix, yriel, craftworld, iyanden",
Vûrtaq,0.0,5.7403167991312944e-05,0,5,"honfler, custodes, denial, magron, loyalists",0.6837555170059204
Khrossus,1.2885823986862622e-06,0.00017924144551468015,0,5,"honfler, custodes, denial, magron, loyalists",0.4693627953529358
Holzhauer,0.0001801628737504227,0.0002578109233375955,25,5,"honfler, custodes, denial, magron, loyalists",0.5771979093551636
Weyldran Lyrzek,0.0,5.7403167991312944e-05,2,8,"honsou, meduson, clan, warsmith, cain",0.6790473461151123
Willard,0.0,5.7403167991312944e-05,3,13,"tanith, gaunt, sabbat, omnibus, vervunhive",0.5135102868080139
Nash,0.0,9.897760600203604e-05,3,1,"necromunda, helmawr, kal, gerontius, haera",
Witch-Empress,0.00039986086796542396,0.0003943097518828288,29,5,"honfler, custodes, denial, magron, loyalists",0.48393765091896057
